amenity:hospital,amenity:clinic,amenity:pharmacy,healthcare:doctor,healthcare:centre,amenity:dentist,amenity:nursing_home,building,amenity:school,amenity:place_of_worship,County
1,0,0,0,0,0,0,54,1,2,Machakos
3,0,0,0,0,0,0,1272,15,12,Machakos
0,0,0,0,0,0,0,401,0,0,Kakamega
1,0,0,0,0,0,0,2093,1,0,Siaya
1,0,0,0,0,0,0,2080,0,0,Siaya
0,0,0,0,0,0,0,865,0,2,West Pokot
0,0,0,0,0,0,0,788,0,0,Bomet
0,0,0,0,0,0,0,112,2,0,Kericho
1,0,0,0,0,0,0,563,0,1,Makueni
0,0,0,0,0,0,0,83,2,0,Kericho
0,0,0,0,0,0,0,10766,2,2,Kajiado
1,0,0,0,0,0,0,49,1,0,Busia
0,0,0,0,0,0,0,1,0,0,Bungoma
0,0,0,0,0,0,0,37,0,0,Marsabit
0,0,0,0,0,0,0,2030,0,1,Migori
0,0,0,0,0,0,0,945,0,1,Migori
0,0,0,0,0,0,0,0,1,1,Meru
0,0,0,0,0,0,0,0,0,0,Migori
5,4,3,0,0,0,0,2579,4,7,Nairobi
0,0,0,0,0,0,0,0,0,0,Trans Nzoia
0,1,0,0,0,0,0,5513,10,1,Nairobi
0,0,0,0,0,0,0,1484,0,0,Narok
3,2,0,0,0,0,0,4854,2,2,Migori
2,0,0,0,0,0,0,921,3,1,Kiambu
0,0,0,0,0,0,0,141,4,0,Kericho
1,0,0,0,0,0,0,2510,2,1,Tharaka - Nithi
0,0,0,0,0,0,0,13,0,0,Kilifi
0,0,0,0,0,0,0,0,0,0,Meru
6,6,6,0,0,1,0,4786,17,22,Kisumu
11,0,0,0,0,1,0,693,4,3,Uasin Gishu
0,1,1,0,0,0,0,41,5,6,Kiambu
1,0,0,0,0,0,0,654,0,1,Nakuru
1,0,0,0,0,0,0,2686,10,2,Kakamega
6,19,18,0,0,0,0,4146,108,38,Nairobi
2,0,0,0,0,0,0,1507,1,0,Kisumu
2,0,0,0,0,0,0,1665,3,2,Kiambu
1,0,0,0,0,0,0,2,0,0,Tharaka - Nithi
2,0,0,0,0,0,0,84,0,6,Kajiado
0,0,0,0,0,0,0,51,0,1,Meru
0,0,0,0,0,0,0,0,0,0,Meru
0,0,0,0,0,0,0,0,1,0,Homa Bay
1,0,0,0,0,0,0,107,2,3,Kiambu
0,0,2,0,0,1,0,2680,0,6,Kilifi
0,0,0,0,0,0,0,610,0,0,Homa Bay
0,0,1,0,0,0,0,4099,0,0,Nakuru
0,0,0,0,0,0,0,0,0,0,Kajiado
0,0,0,0,0,0,0,950,0,1,Makueni
1,0,0,0,0,0,0,483,1,0,Makueni
0,0,0,0,0,0,0,53,0,0,Nakuru
1,0,0,0,0,0,0,3,2,0,Kisii
0,0,0,0,0,0,0,889,0,0,Mandera
0,0,0,0,0,0,0,35,0,0,Elegeyo-Marakwet
0,1,0,0,0,0,0,1232,6,3,Taita Taveta
0,0,0,0,0,0,0,86,1,0,Makueni
0,0,2,0,0,0,0,3372,0,4,Kilifi
0,0,0,0,0,0,0,1239,0,0,Bomet
0,0,0,0,0,0,0,1,0,0,Busia
1,0,0,0,0,0,0,174,0,1,Tharaka - Nithi
1,0,0,0,0,0,0,1843,4,3,Nairobi
9,8,22,0,0,0,0,6182,59,56,Nairobi
1,1,0,0,0,0,0,3121,3,0,Mombasa
1,0,0,0,0,0,0,446,19,5,Kiambu
1,0,0,0,0,0,0,283,10,5,Kiambu
1,0,0,0,0,0,0,91,3,0,Kiambu
0,0,0,0,0,0,0,45,0,1,Meru
0,0,0,0,0,0,0,153,0,0,Elegeyo-Marakwet
0,0,0,0,0,0,0,1800,0,0,Narok
0,0,0,0,0,0,0,1483,0,0,Narok
