building,amenity,amenity:school,amenity:hospital,amenity:restaurant,amenity:cafe,shop,tourism,tourism:hotel,tourism:museum,leisure,leisure:park,historic,amenity:place_of_worship,County
0,7,0,0,0,0,0,0,0,0,0,0,0,0,Busia
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elegeyo-Marakwet
713,0,0,0,0,0,0,0,0,0,0,0,0,0,Migori
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meru
238,0,0,0,0,0,0,0,0,0,1,0,0,0,Kiambu
395,0,0,0,0,0,0,0,0,0,1,0,0,0,West Pokot
8,13,1,2,0,0,3,0,0,0,0,0,0,1,Kisii
4817,28,4,0,5,0,2,0,0,0,1,0,0,2,Nairobi
874,0,0,0,0,0,0,0,0,0,0,0,0,0,Nakuru
478,4,3,0,1,0,0,1,0,0,0,0,0,0,Nyeri
212,14,5,1,0,0,0,0,0,0,0,0,0,2,Embu
1,1,0,1,0,0,0,0,0,0,0,0,0,0,Murang'A
1,6,3,1,0,0,0,0,0,0,1,0,0,1,Trans Nzoia
1531,5,2,1,0,0,0,0,0,0,1,0,0,0,Kakamega
69,4,3,0,0,0,0,0,0,0,0,0,0,0,Kiambu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wajir
6,0,0,0,0,0,0,0,0,0,0,0,0,0,Marsabit
319,3,0,0,0,0,0,0,0,0,0,0,0,1,Mombasa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meru
478,4,3,0,1,0,0,1,0,0,0,0,0,0,Nyeri
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meru
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meru
0,1,0,0,1,0,0,0,0,0,0,0,0,0,Meru
638,1,0,0,0,0,0,0,0,0,0,0,0,0,Siaya
588,1,0,0,0,0,0,0,0,0,0,0,0,0,Kisumu
3043,48,3,4,8,0,9,12,9,0,7,4,0,5,Kakamega
1050,70,15,3,4,1,6,7,7,0,7,0,1,10,Machakos
0,3,0,0,0,0,0,0,0,0,0,0,0,0,Busia
1089,2,0,0,0,0,0,1,1,0,0,0,0,0,Siaya
53,13,2,0,2,0,2,1,1,0,1,0,0,0,Kirinyaga
310,49,5,1,7,4,12,16,13,0,5,2,0,3,Laikipia
328,49,4,1,7,4,11,13,11,0,5,1,0,3,Laikipia
2976,49,1,2,11,1,15,15,12,0,1,0,0,3,Nakuru
0,6,0,0,0,0,0,0,0,0,0,0,0,0,Busia
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkana
319,1,0,0,0,0,0,0,0,0,0,0,0,0,Kakamega
483,0,0,0,0,0,0,0,0,0,2,0,0,0,Nandi
3453,34,1,1,1,0,16,7,3,0,9,1,0,4,Kakamega
26,10,5,0,0,0,0,0,0,0,0,0,0,1,Machakos
482,4,1,1,0,0,0,0,0,0,1,0,0,0,Isiolo
85,0,0,0,0,0,0,0,0,0,0,0,0,0,Kwale
722,11,1,0,0,0,2,0,0,0,0,0,0,1,Nyeri
146,0,0,0,0,0,0,0,0,0,0,0,0,0,Nakuru
7242,19,1,1,2,0,0,4,3,0,0,0,1,3,Mandera
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baringo
134,51,1,3,8,0,18,8,6,1,2,0,0,7,Trans Nzoia
2270,2,1,0,0,0,0,0,0,0,0,0,0,1,Wajir
39,2,1,0,0,0,0,0,0,0,0,0,0,1,Wajir
536,3,1,0,0,0,0,0,0,0,0,0,0,2,Wajir
945,40,3,3,2,1,2,3,3,0,1,0,0,3,Nyeri
